[100,150]
(0,0)
(149,99) | (112,20)
(25,0,1,1)
(127,26,2,1)
(47,26,4,1)
(127,66,1,3)
(119,26,1,3)
(114,77,4,1)
(101,38,1,5)
(136,83,2,1)
(89,51,1,1)
(1,53,2,1)
(61,14,5,1)
(76,16,1,2)
(93,62,1,4)
(3,87,1,3)
(11,52,5,1)
(146,81,1,1)
(105,79,1,1)
(128,22,1,1)
(101,81,1,1)
(146,24,1,2)
(70,89,1,1)
(0,38,1,5)
(149,32,1,5)
(37,56,1,5)
(33,31,1,1)
(53,60,4,1)
(97,68,4,1)
(90,75,2,1)
(134,64,3,1)
(29,88,3,1)
(34,66,4,1)
(130,30,1,5)
(98,14,1,4)
(13,87,5,1)
(56,95,4,1)
(29,41,1,1)
(98,52,1,1)
(89,40,4,1)
(29,44,1,5)
(16,31,1,1)
(135,51,3,1)
(70,54,1,4)
(100,71,2,1)
(2,35,4,1)
(128,45,1,4)
(79,67,2,1)
(16,48,1,1)
(22,28,2,1)
(81,86,1,1)
(119,61,1,1)
(75,2,1,1)
(21,74,1,4)
(86,20,1,1)
(145,93,1,2)
(109,3,1,5)
(50,37,1,1)
(83,30,2,1)
(112,98,4,1)
(112,88,1,1)
(7,67,4,1)
(146,70,1,1)
(69,88,4,1)
(19,35,1,1)
(77,47,1,1)
(11,74,2,1)
(97,9,2,1)
(87,77,1,2)
(45,88,1,2)
(77,10,1,1)
(135,13,1,5)
(145,47,1,5)
(89,40,1,1)
(5,67,1,2)
(145,11,4,1)
(11,86,4,1)
(38,35,3,1)
(25,6,2,1)
(75,79,3,1)
(37,59,3,1)
(49,83,3,1)
(88,36,3,1)
(39,78,1,5)
(89,14,1,1)
(13,30,1,2)
(10,45,3,1)
(105,83,1,3)
(106,46,1,3)
(59,2,4,1)
(46,54,1,3)
(133,8,5,1)
(51,65,1,1)
(24,66,1,5)
(72,20,4,1)
(75,6,1,3)
(67,40,1,5)
(36,22,2,1)
(53,91,5,1)
(91,4,2,1)
(94,64,5,1)
(102,36,4,1)
(60,8,1,4)
(49,14,1,1)
(72,1,1,1)
(134,0,3,1)
(148,80,1,1)
(99,26,3,1)
(77,88,1,5)
(84,75,1,5)
(9,58,1,2)
(88,68,1,3)
(13,28,1,1)
(34,35,1,1)
(86,70,2,1)
(116,40,1,4)
(60,80,1,5)
(4,50,2,1)
(100,70,5,1)
(68,62,1,2)
(27,93,1,1)
(17,1,1,1)
(87,28,2,1)
(112,72,1,1)
(130,7,4,1)
(21,51,2,1)
(19,94,5,1)
(11,59,2,1)
(138,3,1,1)
(55,52,2,1)
(14,44,1,1)
(101,96,5,1)
(116,78,1,3)
(21,80,4,1)
(10,12,1,1)
(11,71,1,5)
(55,56,5,1)
(147,59,1,2)
(135,34,1,2)
(57,80,2,1)
(141,84,2,1)
(126,21,2,1)
(47,74,1,2)
(102,57,1,5)
(69,80,1,1)
(102,33,5,1)
(110,78,1,3)
(103,57,4,1)
(141,59,1,2)
(57,79,2,1)
(72,81,4,1)
(47,59,1,2)
(84,25,4,1)
(136,7,1,2)
(73,46,1,2)
(32,36,1,4)
(144,38,1,1)
(88,77,1,3)
(98,11,1,3)
(130,32,1,4)
(13,6,5,1)
(15,65,4,1)
(103,31,2,1)
(5,33,5,1)
(31,31,1,1)
(114,19,3,1)
(62,49,1,1)
(127,83,1,5)
(48,36,1,1)
(90,53,1,4)
(8,21,1,1)
(69,78,1,3)
(72,34,1,2)
(98,67,1,3)
(101,53,1,3)
(2,78,5,1)
(79,62,3,1)
(27,1,1,1)
(139,70,1,4)
(62,30,1,4)
(137,19,1,1)
(139,35,1,1)
(76,37,3,1)
(9,81,1,2)
(126,93,1,4)
(111,24,2,1)
(33,93,1,3)
(60,65,2,1)
(98,98,4,1)
(60,79,1,1)
(46,97,4,1)
(80,38,1,4)
(93,2,3,1)
(24,44,1,4)
(86,60,1,2)
(10,6,3,1)
(126,33,1,3)
(48,91,1,5)
(19,72,4,1)
(132,56,1,1)
(52,53,1,3)
(100,29,1,2)
(99,27,1,3)
(60,31,1,1)
(114,43,2,1)
(143,38,1,3)
(23,39,3,1)
(47,65,1,4)
(8,9,1,5)
(89,52,1,3)
(1,92,2,1)
(116,25,1,1)
(69,76,1,1)
(25,17,4,1)
(61,28,1,5)
(147,87,1,4)
(53,43,4,1)
(95,68,1,3)
(23,83,1,2)
(31,18,1,5)
(9,74,2,1)
(66,44,3,1)
(28,23,1,1)
(67,62,4,1)
(4,82,1,3)
(49,21,2,1)
(81,39,1,2)
(85,41,1,1)
(57,77,1,1)
(138,45,2,1)
(91,28,4,1)
(17,11,4,1)
(89,72,3,1)
(12,35,2,1)
(114,85,4,1)
(73,81,2,1)
(8,68,2,1)
(64,95,1,3)
(13,91,1,5)
(21,19,3,1)
(127,10,1,1)
(38,81,4,1)
(24,5,1,2)
(133,86,5,1)
(119,8,1,1)
(100,32,1,2)
(94,20,1,4)
(120,22,1,1)
(138,48,2,1)
(27,70,3,1)
(136,11,1,3)
(85,51,1,5)
(4,79,1,5)
(131,17,1,5)
(38,37,1,5)
(78,16,1,1)
(59,94,1,4)
(58,9,1,5)
(92,31,1,1)
(98,16,1,1)
(147,41,3,1)
(100,47,1,4)
(135,35,5,1)
(108,46,1,4)
(106,0,1,4)
(105,89,1,2)
(147,38,1,2)
(148,79,1,5)
(99,49,1,4)
(17,78,5,1)
(104,19,1,5)
(12,78,3,1)
(1,75,4,1)
(123,96,2,1)
(128,5,1,1)
(104,76,3,1)
(114,65,2,1)
(82,16,1,3)
(100,79,1,1)
(62,57,5,1)
(97,42,2,1)
(76,65,1,3)
(110,66,5,1)
(55,81,3,1)
(147,81,1,5)
(54,48,1,2)
(125,75,1,1)
(73,50,3,1)
(114,95,1,1)
(108,11,1,1)
(11,10,1,2)
(68,47,1,5)
(94,53,1,3)
(44,28,1,2)
(6,64,2,1)
(122,48,5,1)
(5,63,1,2)
(123,33,1,2)
(23,61,1,1)
(137,14,3,1)
(56,21,5,1)
(60,61,3,1)
(76,34,1,5)
(114,4,1,5)
(126,40,1,3)
(21,47,1,1)
(99,7,1,4)
(54,62,1,1)
(124,99,5,1)
(83,54,4,1)
(131,13,4,1)
(132,65,2,1)
(88,67,4,1)
(84,89,1,1)
(18,12,1,5)
(121,63,1,4)
(86,93,1,5)
(116,17,1,5)
(49,32,1,1)
(91,61,4,1)
(35,4,2,1)
(87,1,1,1)
(89,42,2,1)
(26,4,2,1)
(16,67,1,3)
(19,61,1,5)
(145,95,1,1)
(128,75,5,1)
(96,94,1,3)
(18,68,1,1)
(100,90,1,1)
(122,21,2,1)
(95,92,3,1)
(149,0,1,3)
(129,38,1,5)
(89,76,1,5)
(4,53,5,1)
(29,88,5,1)
(59,18,1,3)
(67,61,4,1)
(3,88,5,1)
(143,75,5,1)
(80,49,4,1)
(113,19,1,1)
(139,94,2,1)
(44,31,1,2)
(134,37,4,1)
(60,83,1,1)
(64,5,1,2)
(137,68,1,3)
(42,28,1,1)
(46,1,3,1)
(98,79,3,1)
(121,52,1,3)
(79,97,1,1)
(72,19,1,2)
(35,91,1,5)
(89,52,1,5)
(121,36,1,1)
(15,82,1,4)
(92,0,4,1)
(24,57,1,1)
(31,8,1,2)
(137,17,4,1)
(19,0,1,3)
(49,29,3,1)
(104,50,5,1)
(106,25,3,1)
(27,81,1,2)
(67,85,1,4)
(90,90,4,1)
(145,26,3,1)
(78,11,1,3)
(115,34,3,1)
(107,13,1,1)
(110,69,1,5)
(12,56,2,1)
(89,92,1,1)
(51,31,1,3)
(149,46,1,2)
(96,84,1,4)
(134,38,1,2)
(50,10,5,1)
(144,55,3,1)
(49,27,1,3)
(140,39,1,2)
(85,46,1,2)
(101,40,1,1)
(110,82,1,1)
(110,87,1,5)
(68,36,2,1)
(62,59,1,3)
(56,28,1,5)
(66,69,1,1)
(77,40,1,2)
(134,55,1,4)
(79,5,1,4)
(58,90,1,4)
(104,69,1,1)
(133,53,2,1)
(148,60,1,1)
(3,82,1,1)
(14,67,3,1)
(28,35,1,1)
(138,0,1,1)
(26,69,2,1)
(67,92,2,1)
(49,34,4,1)
(58,7,1,2)
(88,91,5,1)
(124,41,1,1)
(34,38,1,1)
(49,38,1,2)
(116,82,3,1)
(137,85,1,1)
(50,88,1,1)
(130,49,3,1)
(114,77,1,4)
(26,5,2,1)
(142,85,1,5)
(128,61,1,1)
(81,68,5,1)
(73,1,1,3)
(143,49,3,1)
(75,9,3,1)
(144,18,4,1)
(10,8,4,1)
(10,75,1,2)
(102,81,1,1)
(136,80,1,3)
(30,89,3,1)
(80,47,1,3)
(148,47,1,1)
(63,74,5,1)
(112,80,1,2)
(54,23,1,1)
(133,75,1,1)
(14,79,1,1)
(51,56,3,1)
(80,0,1,1)
(105,70,1,3)
(135,93,1,5)
(76,8,1,2)
(93,58,4,1)
(33,31,1,2)
(108,6,1,3)
(103,35,3,1)
(111,70,5,1)
(89,6,1,4)
(47,7,1,3)
(111,87,1,2)
(27,7,1,5)
(9,25,1,1)
(29,8,1,2)
(25,19,1,1)
(1,16,1,2)
(39,54,5,1)
(141,42,5,1)
(59,26,1,2)
(51,38,4,1)
(37,71,1,1)
(146,84,1,3)
(24,34,1,2)
(54,10,1,1)
(91,97,1,2)
(76,23,1,5)
(3,40,5,1)
(90,54,4,1)
(139,32,2,1)
(55,57,1,2)
(30,49,2,1)
(20,65,3,1)
(142,26,2,1)
(64,68,1,1)
(72,18,4,1)
(61,89,1,1)
(29,29,1,5)
(31,2,2,1)
(13,1,4,1)
(63,1,1,2)
(46,36,1,3)
(11,65,1,5)
(63,79,5,1)
(16,31,1,4)
(3,26,4,1)
(49,69,5,1)
(140,97,2,1)
(132,70,2,1)
(103,63,1,3)
(72,93,1,4)
(95,5,2,1)
(84,2,1,1)
(103,28,1,2)
(102,55,2,1)
(17,49,1,1)
(96,66,3,1)
(146,21,1,5)
(79,62,5,1)
(73,23,4,1)
(72,25,1,2)
(41,88,3,1)
(11,31,1,1)
(90,5,1,4)
(123,20,1,2)
(52,42,3,1)
(126,4,1,4)
(125,16,5,1)
(102,22,1,2)
(39,19,2,1)
(123,29,1,5)
(1,64,5,1)
(84,57,1,5)
(116,34,3,1)
(107,91,4,1)
(54,78,1,5)
(24,40,1,2)
(16,43,1,3)
(93,25,3,1)
(56,51,1,1)
(82,68,1,3)
(80,41,1,3)
(138,4,4,1)
(124,45,2,1)
(142,46,5,1)
(45,9,1,3)
(70,83,1,5)
(5,53,4,1)
(55,5,1,1)
(3,82,1,1)
(4,75,1,1)
(21,61,5,1)
(105,24,1,1)
(146,8,1,4)
(68,73,2,1)
(128,11,3,1)
(147,44,3,1)
(94,68,1,3)
(102,0,5,1)
(16,39,1,2)
(132,86,2,1)
(50,15,4,1)
(9,22,2,1)
(47,35,4,1)
(100,2,1,1)
(74,92,5,1)
(61,18,5,1)
(19,88,1,3)
(63,47,1,4)
(128,11,1,4)
(83,67,1,4)
(15,78,4,1)
(69,95,1,1)
(42,60,4,1)
(45,45,1,2)
(129,74,1,2)
(60,89,1,3)
(75,62,3,1)
(92,61,1,1)
(70,7,3,1)
(104,3,4,1)
(89,5,1,1)
(61,56,1,1)
(37,55,3,1)
(62,39,2,1)
(24,80,3,1)
(74,86,3,1)
(116,66,2,1)
(66,57,1,1)
(45,32,3,1)
(93,41,2,1)
(56,64,4,1)
(49,9,3,1)
(37,80,1,3)
(79,24,4,1)
(68,5,1,4)
(21,50,1,1)
(133,92,1,1)
(1,28,1,1)
(142,13,4,1)
(111,18,1,5)
